respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
182,Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,49,23959,Bachelor degree
183,not Male,West South Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,39,24107,High school degree
184,not Male,Pacific,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,28,81351,Some college or Associate degree
185,Male,South Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,41,127529,Bachelor degree
186,not Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,76,23823,Graduate degree
187,Male,Pacific,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,19,40829,Bachelor degree
188,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,36,21121,Graduate degree
189,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,24,65684,Some college or Associate degree
190,not Male,East North Central,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,40,154421,Bachelor degree
191,Male,West South Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,26,51953,Bachelor degree
192,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,48,155943,Graduate degree
193,Male,South Atlantic,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,25,54230,High school degree
194,Male,Pacific,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,56,27353,Bachelor degree
195,Male,West South Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,28,98680,Some college or Associate degree
196,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,56,180096,Bachelor degree
197,Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,85,41935,Bachelor degree
198,not Male,East North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,71,90592,Graduate degree
199,not Male,Middle Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,72,171921,Graduate degree
200,Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,47,122980,Some college or Associate degree
201,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,25,19743,Some college or Associate degree
202,Male,Middle Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,73,80366,Bachelor degree
203,not Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,79,128228,Graduate degree
204,Male,South Atlantic,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,49,42386,High school degree
205,Male,New England,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,70,24622,Some college or Associate degree
206,not Male,East South Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,36,120890,Bachelor degree
207,not Male,Middle Atlantic,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,78,65119,Some college or Associate degree
208,not Male,South Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,27,148769,Bachelor degree
209,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,31,95569,Bachelor degree
210,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,33,97579,High school degree
211,Male,New England,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,77,41626,Graduate degree
212,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,20,107204,Graduate degree
213,not Male,New England,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,53,89992,Bachelor degree
214,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,18,55179,Bachelor degree
215,not Male,Middle Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,39,154228,Bachelor degree
216,not Male,Middle Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,82,146621,Bachelor degree
217,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,30,148185,Graduate degree
218,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,57,115584,Some college or Associate degree
219,Male,Middle Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,61,156937,Graduate degree
220,Male,South Atlantic,No,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat unimportant,58,97970,Bachelor degree
221,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,56,29050,Bachelor degree
222,not Male,Middle Atlantic,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,41,141919,High school degree
223,not Male,New England,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,51,128473,Graduate degree
224,not Male,East North Central,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,33,81887,Bachelor degree
225,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,40,175977,Bachelor degree
226,not Male,West North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,43,21211,Some college or Associate degree
227,Male,East North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,60,169665,Graduate degree
228,not Male,Pacific,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,53,36641,Bachelor degree
229,Male,Pacific,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,81,176220,Bachelor degree
230,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,21,89643,Graduate degree
231,not Male,New England,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,29,41257,Less than high school degree
232,Male,South Atlantic,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,49,181751,High school degree
233,not Male,New England,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,58,24704,Some college or Associate degree
234,Male,West South Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,57,70478,Some college or Associate degree
235,Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,36,139798,Graduate degree
236,Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,52,196161,Some college or Associate degree
237,Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,49,142928,Some college or Associate degree
238,Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,54,126712,Some college or Associate degree
239,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,74,60882,Graduate degree
240,not Male,South Atlantic,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,53,117446,Graduate degree
241,Male,South Atlantic,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,20,95791,Bachelor degree
