year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
1984,Beverly Hills Cop,nowomen,fail,33.62,526.2,708.97,105,95514,64,7.3,R,English,USA,"Daniel Petrie Jr. (screenplay), Danilo Bach (story), Daniel Petrie Jr. (story)",Martin Brest,"Action, Comedy, Crime",A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.
1984,Indiana Jones and the Temple of Doom,nowomen,fail,62.76,403.19,746.58,118,228887,57,7.6,PG,"English, Sinhalese",USA,"Willard Huyck (screenplay), Gloria Katz (screenplay), George Lucas (story)",Steven Spielberg,"Action, Adventure","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees, and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
1984,Amadeus,pass,pass,40.35,116.49,116.49,160,198473,93,8.4,R,"English, Italian, Latin, German",USA,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)",Milos Forman,"Biography, Drama, Music","The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum."
1984,The Karate Kid,pass,pass,89.66,395.82,804.88,126,90683,NA,7.2,PG,"English, Japanese",USA,Robert Mark Kamen,John G. Avildsen,"Action, Drama, Family",A handyman/martial arts master agrees to teach a bullied boy karate and shows him that there is more to the martial art than fighting.
1985,Legend,dubious,fail,54.13,33.56,33.56,89,35815,NA,6.4,PG,"English, Italian","USA, UK",William Hjortsberg,Ridley Scott,"Fantasy, Adventure, Romance",A young man must stop the Lord of Darkness from both destroying daylight and marrying the woman he loves.
1985,Back to the Future,notalk,fail,41.14,455.98,831.11,116,480044,86,8.5,PG,English,USA,"Robert Zemeckis, Bob Gale",Robert Zemeckis,"Adventure, Comedy, Sci-Fi","A teenager is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence."
1985,Commando,notalk,fail,21.65,75.94,75.94,90,80951,NA,6.6,R,English,USA,"Jeph Loeb (story), Matthew Weisman (story), Steven E. de Souza (story), Steven E. de Souza (screenplay)",Mark L. Lester,"Action, Thriller",A retired elite Black Ops Commando launches a one man war against a group of South American criminals who have kidnapped his daughter to blackmail him into starting a revolution and getting an exiled dictator back into power.
1985,Ladyhawke,nowomen,fail,43.3,39.84,39.84,121,27521,NA,6.9,PG-13,English,USA,"Edward Khmara (story), Edward Khmara (screenplay), Michael Thomas (screenplay), Tom Mankiewicz (screenplay), David Webb Peoples (screenplay)",Richard Donner,"Adventure, Drama, Fantasy","Philipe Gastone, a thief, escapes from the dungeon at Aquila, sparking a manhunt. He is nearly captured when Captain Navarre befriends him. Navarre has been hunted by the Bishop's men for ..."
1985,Brazil,pass,pass,32.48,21.5,21.5,132,125144,88,8,R,English,UK,"Terry Gilliam (screenplay), Tom Stoppard (screenplay), Charles McKeown (screenplay)",Terry Gilliam,"Drama, Fantasy, Sci-Fi",A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state.
1985,Red Sonja,pass,pass,38.75,14.95,14.95,89,23538,NA,4.9,PG-13,English,"Netherlands, USA","Robert E. Howard (character), Clive Exton, George MacDonald Fraser",Richard Fleischer,"Action, Adventure, Fantasy",A vengeful woman sets out to retrieve a magic orb from an evil queen whom she vows vengeance upon after the evil queen slain her family and her loyal warriors raped her.
1985,Return to Oz,pass,pass,58.46,22.99,22.99,113,16314,42,6.7,PG,English,"UK, USA","L. Frank Baum (novels), Gill Dennis, Walter Murch",Walter Murch,"Adventure, Family, Fantasy","Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful."
1985,The Color Purple,pass,pass,32.48,202.63,202.63,154,49877,NA,7.8,PG-13,English,USA,"Alice Walker (novel), Menno Meyjes (screenplay)",Steven Spielberg,Drama,The life and trials of a young African American woman.
1986,Crocodile Dundee,dubious,fail,10.62,371.24,696.59,97,61861,NA,6.5,PG-13,English,Australia,"John Cornell (screenplay), Paul Hogan (screenplay), Paul Hogan (story), Ken Shadie (screenplay)",Peter Faiman,"Adventure, Comedy",An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.
1986,Top Gun,men,fail,31.86,381.85,757.76,110,166022,NA,6.8,PG,English,USA,"Jim Cash, Jack Epps Jr., Ehud Yonay (magazine article ""Top Guns"")",Tony Scott,"Action, Drama, Romance","As students at the Navy's elite fighter weapons school compete to be best in the class, one daring young flyer learns a few things from a civilian instructor that are not taught in the classroom."
1986,Little Shop of Horrors,notalk,fail,63.71,82.29,82.29,94,38745,81,6.9,PG-13,English,USA,"Howard Ashman (screenplay), Howard Ashman (musical play ""Little Shop of Horrors""), Roger Corman (based on the film by), Charles B. Griffith",Frank Oz,"Comedy, Horror, Musical",A nerdish florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.
1986,Platoon,nowomen,fail,12.74,293,293,120,217637,NA,8.2,R,"English, Vietnamese","UK, USA",Oliver Stone,Oliver Stone,"Action, Drama, War",A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
1986,Aliens,pass,pass,36.1,180.86,389.32,137,353331,87,8.5,R,English,"USA, UK","James Cameron (story), David Giler (story), Walter Hill (story), Dan O'Bannon (characters), Ronald Shusett (characters), James Cameron (screenplay)",James Cameron,"Action, Adventure, Sci-Fi","The planet from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?"
1986,Highlander,pass,pass,33.98,12.53,27.4,116,80331,NA,7.2,R,English,UK,"Gregory Widen (story), Gregory Widen (screenplay), Peter Bellwood (screenplay), Larry Ferguson (screenplay)",Russell Mulcahy,"Action, Adventure, Fantasy","An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize""."
1986,Peggy Sue Got Married,pass,pass,38.23,87.89,87.89,103,23016,NA,6.3,PG-13,English,USA,"Jerry Leichtling, Arlene Sarner",Francis Ford Coppola,"Comedy, Drama, Fantasy","Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school."
1986,The Clan of the Cave Bear,pass,pass,31.86,4.15,4.15,98,4258,NA,5.3,R,English,USA,"Jean M. Auel (novel), John Sayles (screenplay)",Michael Chapman,"Adventure, Drama, Fantasy",A young Cro-Magnons woman is raised by Neanderthals.
1987,Fatal Attraction,dubious,fail,28.71,321.19,656.33,119,42196,67,6.9,R,English,USA,"James Dearden (screenplay), James Dearden (short film)",Adrian Lyne,"Drama, Thriller",A married man's one night stand comes back to haunt him when that lover begins to stalk him and his family.
1987,Spaceballs,dubious,fail,46.54,78.16,78.16,96,105340,46,7.1,PG,English,USA,"Mel Brooks, Thomas Meehan, Ronny Graham",Mel Brooks,"Adventure, Comedy, Sci-Fi","Planet Spaceball's President Skroob sends Lord Dark Helmet to steal Planet Druidia's abundant supply of air to replenish their own, and only Lone Starr can stop them."
1987,The Last Emperor,dubious,fail,51.26,90.18,90.18,163,53818,76,7.8,PG-13,"English, Mandarin, Japanese, Russian","China, Italy, UK, France","Mark Peploe (screenplay), Bernardo Bertolucci (screenplay), Enzo Ungari (initial screenplay collaboration)",Bernardo Bertolucci,"Biography, Drama, History",The story of the final Emperor of China.
1987,The Princess Bride,men,fail,30.76,63.27,63.27,98,223131,77,8.2,PG,English,USA,"William Goldman (book), William Goldman (screenplay)",Rob Reiner,"Adventure, Comedy, Family","A classic fairy tale, with swordplay, giants, an evil prince, a beautiful princess, and yes, some kissing (as read by a kindly grandfather)."
1987,Beverly Hills Cop II,notalk,fail,41.01,315.07,567.27,100,65976,48,6.4,R,English,USA,"Danilo Bach (characters), Daniel Petrie Jr. (characters), Eddie Murphy (story), Robert D. Wachs (story), Larry Ferguson (screenplay), Warren Skaaren (screenplay)",Tony Scott,"Action, Comedy, Crime","Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogamil's near-fatal shooting and the series of ""alphabet crimes"" associated with it."
1987,"Good Morning, Vietnam",notalk,fail,26.66,254.09,254.09,121,65835,NA,7.2,R,English,USA,Mitch Markowitz,Barry Levinson,"Comedy, Drama, War",An unorthodox and irreverent DJ begins to shake up things when he is assigned to the US Armed Services Radio station in Vietnam.
1987,Lethal Weapon,notalk,fail,30.76,133.67,246.44,110,153833,67,7.6,R,English,USA,Shane Black,Richard Donner,"Action, Thriller","A veteran cop, Murtaugh, is partnered with a young suicidal cop, Riggs. Both having one thing in common; hating working in pairs. Now they must learn to work with one another to stop a gang of drug smugglers."
1987,Radio Days,notalk,fail,32.81,30.33,30.33,88,18826,NA,7.6,PG,English,USA,Woody Allen,Woody Allen,Comedy,A nostalgic look at radio's golden age focusing on one ordinary family and the various performers in the medium.
1987,RoboCop,notalk,fail,246.05,112.29,454.32,102,132804,67,7.5,R,English,USA,"Edward Neumeier, Michael Miner",Paul Verhoeven,"Action, Crime, Sci-Fi","In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
1987,The Lost Boys,notalk,fail,17.43,66.07,66.07,97,72942,63,7.2,R,English,USA,"Janice Fischer (story), James Jeremias (story), Janice Fischer (screenplay), James Jeremias (screenplay), Jeffrey Boam (screenplay)",Joel Schumacher,"Comedy, Horror","After moving to a new town, two brothers are convinced that the area is frequented by vampires."
1987,Predator,nowomen,fail,36.91,122.48,201.49,107,222991,36,7.9,R,"English, Spanish",USA,"Jim Thomas, John Thomas",John McTiernan,"Action, Adventure, Sci-Fi","A team of commandos, on a mission in a Central American jungle, find themselves hunted by an extra-terrestrial warrior."
1987,Hellraiser,pass,pass,2.05,29.86,29.86,94,59005,NA,7.1,R,English,UK,Clive Barker,Clive Barker,Horror,"An unfaithful wife encounters the zombie of her dead lover, who's being chased by demons after he escaped from their sado-masochistic Hell."
1987,Superman IV: The Quest for Peace,pass,pass,34.86,23.02,23.02,93,27318,22,3.6,PG,"English, Russian, French, Italian","UK, USA","Christopher Reeve (story), Lawrence Konner (story), Mark Rosenthal (story), Lawrence Konner (screenplay), Mark Rosenthal (screenplay), Joe Shuster (characters), Jerry Siegel (characters)",Sidney J. Furie,"Action, Adventure, Family","The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man."
1988,Midnight Run,men,fail,59.09,75.66,160.75,126,44378,78,7.6,R,English,USA,George Gallo,Martin Brest,"Action, Comedy, Crime","An accountant is chased by bounty hunters, the FBI, and the Mafia after jumping bail."
1988,The Last Temptation of Christ,men,fail,13.79,16.49,16.49,164,32723,80,7.6,R,English,"USA, Canada","Nikos Kazantzakis (novel), Paul Schrader (screenplay)",Martin Scorsese,Drama,"The life of Jesus Christ, his journey through life as he faces the struggles all humans do, and his final temptation on the cross."
1988,Twins,men,fail,29.54,220.48,426.63,107,66325,53,5.9,PG,English,USA,"William Davies, William Osborne, Timothy Harris, Herschel Weingrod",Ivan Reitman,"Comedy, Drama","A physically perfect but innocent man goes in search of his long-lost twin brother, who is a short small-time crook."
1988,Action Jackson,notalk,fail,13.79,39.9,39.9,96,6213,NA,5,R,English,USA,Robert Reneau,Craig R. Baxley,"Action, Comedy, Crime",Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.
1988,Akira,notalk,fail,15.76,0.04,0.04,124,73676,76,8.1,R,Japanese,Japan,"Katsuhiro Ohtomo (screenplay), Izô Hashimoto (screenplay), Katsuhiro Ohtomo (graphic novel)",Katsuhiro Ohtomo,"Animation, Action, Adventure",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psionic psychopath that only two kids and a group of psionics can stop.
1988,Bloodsport,notalk,fail,2.95,23.25,23.25,92,43219,NA,6.7,R,English,USA,"Sheldon Lettich (story), Sheldon Lettich (screenplay), Christopher Cosby (screenplay), Mel Friedman (screenplay)",Newt Arnold,"Action, Biography, Drama","Frank Dux has spent most his life being trained by Tanaka to participate in the Kumite, the ultimate martial arts tournament, where participants are seriously injured, even killed. Frank ..."
1988,Rain Man,notalk,fail,49.24,340.41,813.07,133,307806,65,8,R,"English, Italian",USA,"Barry Morrow (story), Ronald Bass (screenplay), Barry Morrow (screenplay)",Barry Levinson,Drama,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
1988,Who Framed Roger Rabbit,notalk,fail,137.88,303.55,692.33,104,105875,83,7.7,PG,English,USA,"Gary K. Wolf (novel), Jeffrey Price (screenplay), Peter S. Seaman (screenplay)",Robert Zemeckis,"Animation, Comedy, Crime",A toon hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
1988,Young Guns,notalk,fail,25.61,88.1,88.1,107,34765,50,6.8,R,English,USA,John Fusco,Christopher Cain,"Action, Crime, Drama","A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
1988,They Live,nowomen,fail,7.88,25.61,25.61,93,51011,52,7.3,R,English,USA,"Ray Nelson (short story ""Eight O'Clock in the Morning""), John Carpenter (screenplay)",John Carpenter,"Action, Horror, Sci-Fi",A drifter discovers a pair of sunglasses that allow him to wake up to the fact that aliens have taken over the Earth.
1988,Dangerous Liaisons,pass,pass,27.58,68.35,68.35,119,44706,74,7.7,R,English,"USA, UK","Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay)",Stephen Frears,"Drama, Romance",Rich and bored aristocrats in Rococo France play high-stakes games of passion and betrayal.
